collection,gpp_no,accession_number,culture_general,culture_specific,country_production,region_production,date_earliest,mean_date,date_latest,period,art_period,war,dynasty,dynasty_simple,reign,material,technique,description,ware,maker,object_type,dimensions,N_gpp_no
bapd,bapd_9035427,"dublin, university college: v5055 | dublin, university college: 540",european,greek,greece,attica,-500,-475,-450,NA,Classical,Before,NA,NA,NA,ceramic,athenian_black-figure,NA,NA,NA,lekythos,NA,1
bapd,bapd_9035659,"granada, fundacion rodriguez acosta, coll. gomez moreno",european,greek,greece,attica,-500,-475,-450,NA,Classical,Before,NA,NA,NA,ceramic,athenian_black-figure,NA,NA,NA,lekythos,NA,1
bapd,bapd_9035660,"granada, fundacion rodriguez acosta, coll. gomez moreno",european,greek,greece,attica,-500,-475,-450,NA,Classical,Before,NA,NA,NA,ceramic,athenian_black-figure,NA,NA,NA,lekythos,NA,1
bapd,bapd_9035850,"nantes, musee dobree: 903.645",european,greek,greece,attica,-500,-475,-450,NA,Classical,Before,NA,NA,NA,ceramic,athenian_black-figure,NA,NA,NA,lekythos,NA,1
bapd,bapd_9035851,"nantes, musee dobree: 903.647",european,greek,greece,attica,-500,-475,-450,NA,Classical,Before,NA,NA,NA,ceramic,athenian_black-figure,NA,NA,NA,lekythos,NA,1
bapd,bapd_9035940,"paris, musée du louvre: f524",european,greek,greece,attica,-500,-475,-450,NA,Classical,Before,NA,NA,NA,ceramic,athenian_black-figure,NA,NA,NA,lekythos,NA,1
bapd,bapd_9036993,"paris, musée du louvre: f523",european,greek,greece,attica,-500,-475,-450,NA,Classical,Before,NA,NA,NA,ceramic,athenian_black-figure,NA,NA,NA,lekythos,NA,1
bapd,bapd_9037713,"basel, market",european,greek,greece,attica,-500,-475,-450,NA,Classical,Before,NA,NA,NA,ceramic,athenian_red-figure,NA,NA,NA,krater_column,NA,1
bapd,bapd_9093,"madison (wi), elvehjem museum of art | basel, market, münzen und medaillen a.g.",european,greek,greece,attica,-500,-475,-450,NA,Classical,Before,NA,NA,NA,ceramic,athenian_red-figure,NA,NA,NA,lekythos,NA,1
bapd,bapd_9426,"kassel, staatliche museen kassel, antikensammlung: alg57 | kassel, private, p. dierichs",european,greek,greece,attica,-500,-475,-450,NA,Classical,Before,NA,NA,NA,ceramic,athenian_red-figure,NA,NA,NA,hydria,NA,1
bapd,bapd_9514,"madrid, museo arqueologico nacional: 11009",european,greek,greece,attica,-500,-475,-450,NA,Classical,Before,NA,NA,NA,ceramic,athenian_red-figure,NA,NA,NA,stamnos,NA,1
bapd,bapd_9619,"vibo valentia, museo statale vito capialbi: 403",european,greek,greece,attica,-500,-475,-450,NA,Classical,Before,NA,NA,NA,ceramic,athenian_red-figure,NA,NA,NA,lekythos,NA,1
bapd,bapd_97,"tokyo, fujita | geneva, market, christie's | würzburg, universität, martin von wagner museum: za48",european,greek,greece,attica,-500,-475,-450,NA,Classical,Before,NA,NA,NA,ceramic,athenian_red-figure,NA,NA,NA,hydria,NA,1
bapd,bapd_9907,"amsterdam, allard pierson museum: 10469",european,greek,greece,attica,-500,-475,-450,NA,Classical,Before,NA,NA,NA,ceramic,athenian_black-figure,NA,NA,NA,lekythos,NA,1
bapd,bapd_9911,"amsterdam, allard pierson museum: 10470",european,greek,greece,attica,-500,-475,-450,NA,Classical,Before,NA,NA,NA,ceramic,athenian_red-figure,NA,NA,NA,lekythos,NA,1
bapd,bapd_9912,"amsterdam, allard pierson museum: 10468",european,greek,greece,attica,-500,-475,-450,NA,Classical,Before,NA,NA,NA,ceramic,athenian_black-figure,NA,NA,NA,lekythos,NA,1
bapd,bapd_9953,"minneapolis (mn), university, f.r. weisman art museum: 73.10.7",european,greek,greece,attica,-500,-475,-450,NA,Classical,Before,NA,NA,NA,ceramic,athenian_red-figure,NA,NA,NA,amphora_neck,NA,1
bapd,bapd_996,"leiden, rijksmuseum van oudheden: roii4",european,greek,greece,attica,-500,-475,-450,NA,Classical,Before,NA,NA,NA,ceramic,athenian_black-figure,NA,NA,NA,lekythos,NA,1
bapd,bapd_997,"leiden, rijksmuseum van oudheden: roii6",european,greek,greece,attica,-500,-475,-450,NA,Classical,Before,NA,NA,NA,ceramic,athenian_black-figure,NA,NA,NA,lekythos,NA,1
bapd,bapd_999,"leiden, rijksmuseum van oudheden: roii45",european,greek,greece,attica,-500,-475,-450,NA,Classical,Before,NA,NA,NA,ceramic,athenian_black-figure,NA,NA,NA,lekythos,NA,1
bapd,bapd_9994,"malibu (ca), the j. paul getty museum: 73.ae.23",european,greek,greece,attica,-500,-475,-450,NA,Classical,Before,NA,NA,NA,ceramic,athenian_red-figure,NA,NA,NA,lekythos,NA,1
va_london,va_2008br9445,c.2503-1910,european,greek,greece,,-500,-450.5,-401,NA,Classical,Before,NA,NA,NA,earthenware,NA,NA,,NA,vase,NA,1
met_nyc,met_246124,96.9.23,european,greek,greece,NA,-480,-480,-480,classical,Classical,Before,NA,NA,NA,terracotta,NA,NA,NA,NA,kylix,h.: 3 x 9 7/16 in. (7.6 x 24 cm),1
met_nyc,met_246137,96.9.37,european,greek,greece,NA,-480,-480,-480,classical,Classical,Before,NA,NA,NA,terracotta,NA,NA,NA,NA,kylix,h. 3 1/4 in. (8.2 cm)\r\ndiameter  8 3/8 in. (21.3 cm),1
met_nyc,met_246557,96.18.29,european,greek,greece,NA,-480,-480,-480,classical,Classical,Before,NA,NA,NA,terracotta,NA,NA,NA,NA,pelike,h. 10 7/8 in. (27.6 cm)\r\ndiameter  8 3/8 in. (21.3 cm),1
met_nyc,met_246586,96.18.70,european,greek,greece,NA,-480,-480,-480,classical,Classical,Before,NA,NA,NA,terracotta,NA,NA,NA,NA,kylix,h. 3 11/16 in. (9.3 cm)\r\ndiameter  9 in. (22.9 cm),1
met_nyc,met_246647,96.18.143,european,greek,greece,NA,-480,-480,-480,classical,Classical,Before,NA,NA,NA,terracotta,NA,NA,NA,NA,kylix,h. 3 7/8 in. (9.9 cm)\r\ndiameter  9 1/2 in. (24.1 cm),1
met_nyc,met_246933,01.8.8,european,greek,greece,NA,-480,-480,-480,classical,Classical,Before,NA,NA,NA,terracotta,NA,NA,NA,NA,pelike,h. 11 1/4 in. (28.5 cm),1
met_nyc,met_247256,06.1021.90,european,greek,greece,NA,-480,-480,-480,classical,Classical,Before,NA,NA,NA,terracotta,NA,NA,NA,NA,lekythos,h.: 7 1/4 in. (18.4 cm),1
met_nyc,met_247280,06.1021.114,european,greek,greece,NA,-480,-480,-480,classical,Classical,Before,NA,NA,NA,terracotta,NA,NA,NA,NA,nolan neck-amphora with triple handles,h.: 13 1/8 x 7 1/4 in. (33.3 x 18.4 cm),1
met_nyc,met_247283,06.1021.117,european,greek,greece,NA,-480,-480,-480,classical,Classical,Before,NA,NA,NA,terracotta,NA,NA,NA,NA,nolan neck-amphora,h. 13 11/16 in. (34.8 cm),1
met_nyc,met_247310,06.1021.146,european,greek,greece,NA,-480,-480,-480,classical,Classical,Before,NA,NA,NA,terracotta,NA,NA,NA,NA,lekythos,diameter: 3 1/2 × 2 1/16 × 2 3/4 in. (8.9 × 5.2 × 6.9 cm)\r\nheight: 11 3/8 in. (28.9 cm),1
met_nyc,met_247351,06.1021.188,european,greek,greece,NA,-480,-480,-480,classical,Classical,Before,NA,NA,NA,terracotta,NA,NA,NA,NA,kylix,h.: 3 13/16 in. (9.7 cm)\r\ndiam.: 9 3/8 in. (23.8 cm),1
met_nyc,met_247571,6.1153,european,greek,greece,NA,-480,-480,-480,classical,Classical,Before,NA,NA,NA,terracotta,NA,NA,NA,NA,nolan neck-amphora,h. 12 1/2 in. (31.8 cm),1
met_nyc,met_247947,07.286.67,european,greek,greece,NA,-480,-480,-480,classical,Classical,Before,NA,NA,NA,terracotta,NA,NA,NA,NA,lekythos,h. 14 in. (35.5 cm),1
met_nyc,met_248100,08.258.28,european,greek,greece,NA,-480,-480,-480,classical,Classical,Before,NA,NA,NA,terracotta,NA,NA,NA,NA,lekythos,9 5/16 x 3 1/4 in. (23.7 x 8.3 cm),1
met_nyc,met_248128,08.258.57,european,greek,greece,NA,-480,-480,-480,classical,Classical,Before,NA,NA,NA,terracotta,NA,NA,NA,NA,kylix,5 3/16in. (13.2cm)\r\nother: 13in. (33cm),1
met_nyc,met_248179,09.221.41,european,greek,greece,NA,-480,-480,-480,classical,Classical,Before,NA,NA,NA,terracotta,NA,NA,NA,NA,nolan neck-amphora with triple handles,h. 13 in. (33 cm)\r\ndiameter  7 9/16 in. (19.2 cm),1
met_nyc,met_248588,11.212.7,european,greek,greece,NA,-480,-480,-480,classical,Classical,Before,NA,NA,NA,terracotta,NA,NA,NA,NA,hydria,h. 14 3/16 in. (36 cm)\r\ndiameter with handles  14 5/8 in. (37.2 cm),1
met_nyc,met_248697,12.231.1,european,greek,greece,NA,-480,-480,-480,classical,Classical,Before,NA,NA,NA,terracotta,NA,NA,NA,NA,kylix,h. 5 3/16 in. (13.2 cm)\r\ndiameter  13 1/4 in. (33.7 cm),1
met_nyc,met_250993,20.244,european,greek,greece,NA,-480,-480,-480,classical,Classical,Before,NA,NA,NA,terracotta,NA,NA,NA,NA,neck-amphora of panathenaic shape,h. 17 9/16 in. (44.6 cm)\r\ndiameter  11 7/16 in. (29 cm),1
met_nyc,met_250995,20.246,european,greek,greece,NA,-480,-480,-480,classical,Classical,Before,NA,NA,NA,terracotta,NA,NA,NA,NA,kylix,h. 5 7/16 in. (13.8 cm)\r\ndiameter  13 1/16 in. (33.2 cm),1
met_nyc,met_251106,21.88.82,european,greek,greece,NA,-480,-480,-480,classical,Classical,Before,NA,NA,NA,terracotta,NA,NA,NA,NA,column-krater,h. 15 1/8 in. (38.4 cm)\r\ndiameter of mouth  12 1/16 in. (30.6 cm),1
met_nyc,met_251135,21.88.163,european,greek,greece,NA,-480,-480,-480,classical,Classical,Before,NA,NA,NA,terracotta,NA,NA,NA,NA,lekythos,h. 16 3/8 in. (41.6 cm),1
met_nyc,met_251252,22.139.80,european,greek,greece,NA,-480,-480,-480,classical,Classical,Before,NA,NA,NA,terracotta,NA,NA,NA,NA,kylix,overall: 2 15/16 x 4 7/16in. (7.5 x 11.3cm),1
met_nyc,met_251489,24.97.28,european,greek,greece,NA,-480,-480,-480,classical,Classical,Before,NA,NA,NA,terracotta,NA,NA,NA,NA,lekythos,h. 11 3/16 in. (28.4 cm)\r\ndiameter  3 7/8 in. (9.8 cm),1
